Data,SIH_Sul_I_Old,SIH_Sul_J_Old,SIH_Sul_I_Kid,SIH_Sul_J_Kid,SIH_GV_I_Old,SIH_GV_J_Old,SIH_GV_I_Kid,SIH_GV_J_Kid,pm25.gv,pm10.gv,so2.gv,no2.gv,co.gv,o3.gv,co.sul,o3.sul,no2.sul,so2.sul,pm10.sul,pm25.sul
01/01/2015,0,3,0,1,11,5,1,9,11.68025362,35.24197723,10.66760417,7.143888889,296.19325,31.95104167,298.5835417,35.72458333,9.857807971,25.51041667,27.00105176,5.857145833
02/01/2015,0,1,0,1,10,6,0,8,12.64583333,34.18838227,10.54444293,9.440138889,341.62775,30.01677083,372.7354638,36.76666667,15.92245773,37.40493659,34.65044565,9.369451993
03/01/2015,1,2,0,1,2,2,1,2,11.02083333,30.95045172,9.020416667,9.303472222,344.044,30.35895833,327.9660985,34.59791667,12.47298309,26.54093297,33.6386087,8.496304348
04/01/2015,0,0,0,0,10,3,0,4,8.958333333,23.69642857,8.141770833,6.354444444,273.844,30.8959375,254.6630994,35.78791667,10.23472222,18.40083333,22.67075,5.971431159
05/01/2015,1,0,0,0,15,7,0,3,9.645833333,36.04296066,9.035208333,11.32430556,378.2369167,26.90822917,233.7446296,48.5375,8.394619565,15.29107708,26.33833333,7.286539661
06/01/2015,0,1,0,1,16,4,0,8,9.0625,24.93995859,6.6909375,12.39375,378.6860326,24.42958333,277.4469324,,9.456672705,18.07875,24.3334,4.911164216
07/01/2015,2,1,0,2,7,5,0,4,7.875,23.15398551,5.953125,12.33875,335.8111667,23.38552083,276.3221429,,8.05,11.026875,22.76186245,3.565114519
08/01/2015,3,2,0,1,14,4,0,6,8.1875,26.67261905,5.801761364,13.67916667,347.6001667,28.7665625,227.3607749,,8.303106407,14.52255435,20.82248671,3.282951389
09/01/2015,1,0,0,1,10,6,0,10,7.916666667,24.77660926,4.2796875,11.41583333,369.6375303,23.01729167,260.1627778,26.47666667,7.494717391,20.20255435,28.63272308,4.209604167
10/01/2015,2,0,0,0,3,3,1,3,8.375,27.64259834,6.565729167,8.556944444,282.4459167,25.4803125,298.3303472,35.99583333,8.677222222,51.639375,32.65173252,5.501875
11/01/2015,1,1,0,0,7,1,0,4,9.6875,31.55383023,9.680520833,6.083055556,256.171,28.76083333,299.0368889,35.82375,10.67336601,36.289375,30.43956159,6.367791667
12/01/2015,2,0,0,3,6,10,0,11,12.08333333,46.73033126,6.252708333,8.419027778,339.4009167,24.0259375,231.1463782,36.09125,10.17210317,35.60520833,34.84468939,7.499513889
13/01/2015,2,0,0,1,14,7,0,11,10.66666667,35.32738095,8.3490625,8.858472222,349.6706196,23.35091856,256.9675,,10.91194444,25.68895833,35.08376644,7.176666667
14/01/2015,2,1,0,1,12,5,1,5,7.6875,28.33980331,7.925416667,8.696890097,351.3388333,23.54270833,215.7983333,31.877,10.68958333,21.935625,25.21923768,4.793359684
15/01/2015,2,1,0,1,9,7,0,4,9.083333333,32.27380952,6.454433877,9.325096618,371.2924848,24.48527462,263.2599758,34.35583333,10.92116848,35.86512681,29.73915652,6.642321429
16/01/2015,1,0,0,1,11,5,0,3,7.833333333,26.18742236,7.623873106,10.71442633,362.8200507,21.55571558,222.7133476,34.12333333,6.983448068,9.139338768,24.1460774,4.329756944
17/01/2015,0,0,0,0,6,4,0,3,7.1375,22.14738221,5.514270833,7.789722222,320.1800833,27.49885417,256.3064484,36.43083333,8.995416667,16.93958333,25.41124351,5.325972222
18/01/2015,0,0,0,0,0,4,0,1,9.291666667,30.14067303,8.437083333,6.870694444,263.6539167,30.9975,264.126654,,10.81631313,34.84645833,29.67464615,6.542492236
19/01/2015,0,1,0,2,8,0,0,10,8.791666667,30.66590245,10.95947917,10.67694444,350.8999167,30.53958333,259.5284722,43.531,10.74753623,15.10369565,26.21073092,4.853339921
20/01/2015,2,3,0,1,15,9,0,15,8,29.61033471,6.6540625,9.040416667,361.0791667,23.64895833,274.624623,34.25583333,8.437694444,16.18541667,26.50026007,4.974194794
21/01/2015,3,2,0,2,13,2,0,6,10.04166667,37.04679952,8.815520833,9.72625,342.1241667,27.97010417,316.4501984,37.49791667,14.78826754,18.44625,27.48458551,6.877083333
22/01/2015,0,1,0,0,9,8,1,7,8.708333333,30.75315657,6.22844697,9.781388889,397.9203623,26.67993207,278.4359722,39.649,13.29430556,13.135625,23.29297222,6.200473485
23/01/2015,0,0,0,1,16,2,0,7,10.625,27.20039683,6.221732955,12.21494949,374.0101667,25.5271875,289.534697,,12.40598846,15.69595238,22.47695538,7.882780388
24/01/2015,0,0,0,0,10,3,1,5,8.125,22.60787839,7.4634375,7.721666667,308.69875,26.50625,292.7107323,,11.90747222,14.44333333,19.04230954,6.1625
